# 폐기된 주제 이력 — 재작성 금지 (WRITING_GUIDE.md 2.4 참조)
# 2026-04 두 차례 일괄 삭제된 44건에서 도출(중복 슬러그 병합 후 30건).
# 저장소 히스토리가 2026-07-01에 재생성되면서 상당수가 재유입되어 현재도 사이트에 남아 있음.
# 원작성일	주제슬러그	제목	사유	현재상태
2026-04-06	개헌공고안의결노동절공휴일	이재명 대통령 개헌 공고안 의결! 5월 1일 노동절 정식 공휴일 확정?	허구/미확인	삭제완료
2026-04-05	고준_비연예인결혼	배우 고준 2026년 4월 비연예인 신부와 백년가요 깜짝 결혼 발표	허구/사실오류	삭제완료
2026-04-06	고준결혼	배우 고준 결혼! 미모의 비연예인과 백년가약... "오랜 시간 곁을 지켜준 사람"	허구/미확인	삭제완료
2026-04-06	고준결혼품절남	열혈사제 고준 깜짝 결혼 발표! 비연예인 신부 누구? 결국 품절남 등극	허구/사실오류	삭제완료
2026-04-07	김동현넷째임신깜짝고백	김동현 넷째 임신 깜짝 고백! '놀토' 8주년 현장 초토화 결국?	허구/사실오류	삭제완료
2026-04-03	김원훈엄지윤청담동결혼식	김원훈엄지윤 청담동 결혼식 2026년 4월 1일 화제	허구/미확인	삭제완료
2026-04-05	단계적개헌강조	이 대통령 '단계적 개헌' 강조! 국민의힘 당론 '선거개헌 반대'와 충돌하나?	허구/미확인	삭제완료
2026-04-05	민주당내부갈등한준호정청래	더불어민주당 내부 분열 조짐? 한준호 의원, 정청래 대표 공개 비판하며 "리더십 부재" 지적	허구/사실오류	삭제완료
2026-04-04	민주당진보4당정치개혁합의	민주당과 진보 4당 정치개혁 첫 합의! 소수 정당 목소리 커진다	허구/사실오류	삭제완료
2026-04-04	민주당탄핵보고회	민주당 탄핵 1주년 대국민 보고회 계엄 단죄 강조	허구/사실오류	삭제완료
2026-03-31	박은영셰프결혼	박은영 셰프 결혼 발표! 흑백요리사 스타의 피앙세는 의사?	허구/사실오류	삭제완료
2026-04-03	배우커플탄생결혼전제열애	배우커플 탄생 2026년 드라마 인연 현실로	허구/미확인	삭제완료
2026-04-03	범여5당피켓시위중단선거제합의	범여5당 피켓시위 중단 선거제 개혁 합의 2026년	허구/사실오류	삭제완료
2026-04-06	사냥개들2전소민결혼	넷플릭스 사냥개들 시즌2 화제 전소민 결혼 발언 충격의 진실	허구/미확인	삭제완료
2026-04-03	선거제개혁합의	범여 5당 선거제 개혁 전격 합의 대통령 시정연설 앞두고 피켓 시위 철회 결정	허구/미확인	삭제완료
2026-04-05	아이유결혼발표	아이유 결혼 전격 발표! 다음 주 웨딩마치와 '대군부인' 영상의 비밀	허구/사실오류	삭제완료
2026-04-04	아이유결혼발표영상	아이유 결혼 발표? 깜짝 대군부인 영상의 진실과 팬들의 반응	허구/사실오류	삭제완료
2026-04-06	아이유결혼티저	아이유 '대군부인' 영상 공개! 결혼설 해프닝의 전말... "연기는 연기일 뿐"	허구/미확인	삭제완료
2026-04-02	아이유변우석웨딩화보	아이유 변우석 21세기 대군 부부 웨딩 화보 공개	허구/미확인	삭제완료
2026-04-07	여야정영수회담	이재명 대통령 정청래 장동혁 청와대 오찬 전격 성사 협치인가 쇼인가!	허구/미확인	삭제완료
2026-04-04	윤석열탄핵1주년집회	탄핵 1주년 도심 맞불 집회 4월 4일 격돌	허구/사실오류	삭제완료
2026-04-01	이민우결혼식	신화 이민우 결혼식 현장 포착! 에릭·전진 등 멤버 전원 부부 동반 총출동	허구/미확인	삭제완료
2026-04-03	이민호5월결혼발표	배우 이민호 5월 깜짝 결혼 발표 예비 신부 정체는 누구 결국 사랑 결실	허구/사실오류	삭제완료
2026-04-06	이유영둘째임신	배우 이유영 둘째 임신! 오는 9월 출산 예정... '두 아이 엄마 된다'	허구/미확인	삭제완료
2026-04-07	이유영둘째임신일상	이유영 둘째 임신 일상 공개! '살찐 임신부' 셀프 폭로 결국?	허구/사실오류	삭제완료
2026-04-07	이재명영수회담결과	이재명-대통령 영수회담 100분 대화! 민생 지원금 합의 도출 성공?	허구/사실오류	삭제완료
2026-04-06	이재명청와대회동	이재명 7일 청와대 회동... 민생협치 0순위 과제는?	허구/사실오류	삭제완료
2026-04-03	이태리결혼해프닝	[연예] 배우 이태리 만우절 결혼 해프닝! "거짓말 같은 일" 진짜 속사정은?	허구/사실오류	삭제완료
2026-04-02	제주43사건완결약속	대통령 제주 4.3 완전 해결 약속 국회 초당적 협조 촉구	허구/사실오류	삭제완료
2026-04-06	지상렬결혼발표신보람	'55세' 지상렬 6월 결혼? 연하의 비연예인 신보람 누구길래?	허구/미확인	삭제완료
